Regio,Misdrijf,2010,2011,2012,2013
Drenthe,totaal,25775,25730,25020,22810
Drenthe,Vermogensmisdrijven,13975,14310,14060,13250
Drenthe,Diefstal/verduistering en inbraak,12930,13440,12940,12375
Drenthe,Diefstal en inbraak met geweld,210,220,185,150
Drenthe,Diefstal en inbraak zonder geweld,12720,13220,12755,12225
Drenthe,Bedrog,760,610,810,590
Drenthe,Oplichting,720,590,775,580
Drenthe,Flessentrekkerij,25,15,25,5
Drenthe,Bedrog (overig),15,10,15,10
Drenthe,Valsheidsmisdrijf,170,150,185,150
Drenthe,Muntmisdrijf,30,20,20,35
Drenthe,Valsheid in zegels en merken,0,0,0,0
Drenthe,Valsheid in geschriften,140,125,165,120
Drenthe,Heling,95,85,85,85
Drenthe,Afpersing en afdreiging,10,15,25,30
Drenthe,Bankbreuk,5,5,5,0
Drenthe,Witwassen,5,10,10,10
Drenthe,Vermogensmisdrijf (overig),0,0,0,0
Drenthe, misdr.openb.orde/gezag,4795,4755,4930,4015
Drenthe,Vernieling en beschadiging,4200,4095,4180,3430
Drenthe,Vernieling aan auto,1475,1365,1765,1435
Drenthe,Vernieling aan openbaar gebouw,470,310,100,105
Drenthe,Vernieling middel openb.vervoer,25,30,15,5
Drenthe,Dierenmishandeling,0,0,0,0
Drenthe,Vernieling,2225,2390,2295,1885
Drenthe,Openbare orde misdrijf,325,325,420,300
Drenthe,Openlijke geweldpleging,145,135,130,90
Drenthe,Openlijk geweldtegen persoon,110,105,100,70
Drenthe,Openlijk geweldtegen goed,35,30,30,20
Drenthe,Huisvredebreuk,35,35,40,50
Drenthe,Lokaalvredebreuk,25,20,10,15
Drenthe,Computervredebreuk,30,45,150,80
Drenthe,Discriminatie,10,5,10,15
Drenthe,Openbare orde misdrijf (overig),85,95,80,45
Drenthe,Brandstichting/ontploffing,210,230,250,235
Drenthe,Openbaar gezag misdrijf,55,100,80,55
Drenthe,Niet opvolgen van ambtelijk bevel,40,75,45,35
Drenthe,Wederspannigheid,10,10,10,5
Drenthe,Valse aangifte,5,15,10,5
Drenthe,Verblijf ongewenste vreemdeling,0,0,0,0
Drenthe,Openbaar gezag misdrijf (overig),5,0,10,10
Drenthe,Gewelds- en seksuele misdrijven,3235,3190,3105,2890
Drenthe,Mishandeling,1685,1610,1610,1455
Drenthe,Bedreiging en stalking,975,1025,1005,1010
Drenthe,Bedreiging,860,880,880,860
Drenthe,Stalking,115,145,125,145
Drenthe,Seksueel misdrijf,385,330,300,250
Drenthe,Aanranding,95,80,60,50
Drenthe,Verkrachting,80,65,45,30
Drenthe,Schennis der eerbaarheid,75,80,70,45
Drenthe,Ontucht met minderjarige,35,20,25,35
Drenthe,Pornografie,15,15,25,30
Drenthe,Ontucht met misbruik van gezag,10,20,30,20
Drenthe,Seksueel misdrijf (overig),70,55,45,45
Drenthe,Levensmisdrijf,120,155,125,115
Drenthe,Vrijheidsbeneming/gijzeling,5,10,25,10
Drenthe,Mensenhandel,15,10,5,5
Drenthe,Geweldsmisdrijf (overig),45,50,35,45
Drenthe,Misdrijven WvSr (overig),255,295,275,265
Drenthe,Verkeersmisdrijven,2905,2645,2145,1910
Drenthe,5.Verlaten plaats ongeval,1945,1690,1455,1325
Drenthe,5.Rijden onder invloed,870,880,610,505
Drenthe,5.Rijdentijdens ontzegging,40,10,10,10
Drenthe,5.Rijdentijdens rijverbod,0,0,0,0
