misdrijf,Regio,2010,2011,2012,2013
totaal,Groningen,37910,36585,35435,33985
totaal,Friesland,31415,31500,29500,28325
totaal,Drenthe,25775,25730,25020,22810
totaal,Overijssel,63015,63600,62370,60075
totaal,Flevoland,25330,25690,25270,25570
totaal,Gelderland,126330,123905,118440,111255
totaal,Utrecht,89205,85430,80745,78015
totaal,Noord-Holland,231675,232220,221310,217290
totaal,Zuid-Holland,275740,283740,265150,250365
totaal,Zeeland,22240,22345,20740,18880
totaal,Noord-Brabant,175280,173010,170220,162165
totaal,Limburg,84590,85760,81685,76575
totaal,niet in te delen,6005,5080,3865,3175
Vermogensmisdrijven,Groningen,20950,20500,20510,20890
Vermogensmisdrijven,Friesland,15415,15430,15185,15445
Vermogensmisdrijven,Drenthe,13975,14310,14060,13250
Vermogensmisdrijven,Overijssel,35870,36245,36705,37335
Vermogensmisdrijven,Flevoland,13775,14475,14865,15920
Vermogensmisdrijven,Gelderland,75425,75235,73975,71135
Vermogensmisdrijven,Utrecht,57760,54710,53075,51890
Vermogensmisdrijven,Noord-Holland,145550,146940,144785,146610
Vermogensmisdrijven,Zuid-Holland,157490,161270,154830,147160
Vermogensmisdrijven,Zeeland,11210,11170,10500,9740
Vermogensmisdrijven,Noord-Brabant,103140,103740,104785,103250
Vermogensmisdrijven,Limburg,48850,52730,50665,47535
Vermogensmisdrijven,niet in te delen,4185,3520,2785,2245
Diefstal/verduistering en inbraak,Groningen,19410,19175,19070,19710
Diefstal/verduistering en inbraak,Friesland,14165,14430,14045,14490
Diefstal/verduistering en inbraak,Drenthe,12930,13440,12940,12375
Diefstal/verduistering en inbraak,Overijssel,33520,33915,34210,35265
Diefstal/verduistering en inbraak,Flevoland,12895,13630,13925,14990
Diefstal/verduistering en inbraak,Gelderland,71495,71600,69890,67585
Diefstal/verduistering en inbraak,Utrecht,54995,52020,50015,49180
Diefstal/verduistering en inbraak,Noord-Holland,137025,137500,134700,138775
Diefstal/verduistering en inbraak,Zuid-Holland,147780,151455,144240,137905
Diefstal/verduistering en inbraak,Zeeland,10480,10505,9755,9135
Diefstal/verduistering en inbraak,Noord-Brabant,97910,98890,99225,98180
Diefstal/verduistering en inbraak,Limburg,46350,50460,48190,45365
Diefstal/verduistering en inbraak,niet in te delen,3145,2660,2040,1770
Diefstal en inbraak met geweld,Groningen,550,410,355,305
Diefstal en inbraak met geweld,Friesland,195,205,180,210
Diefstal en inbraak met geweld,Drenthe,210,220,185,150
Diefstal en inbraak met geweld,Overijssel,540,445,585,405
Diefstal en inbraak met geweld,Flevoland,410,470,415,440
Diefstal en inbraak met geweld,Gelderland,1245,1100,1015,940
Diefstal en inbraak met geweld,Utrecht,1045,935,890,790
Diefstal en inbraak met geweld,Noord-Holland,4220,4185,4055,4040
Diefstal en inbraak met geweld,Zuid-Holland,4655,4495,4335,3455
Diefstal en inbraak met geweld,Zeeland,235,175,185,180
Diefstal en inbraak met geweld,Noord-Brabant,1885,1755,1735,1470
Diefstal en inbraak met geweld,Limburg,875,930,800,695
Diefstal en inbraak met geweld,niet in te delen,60,60,40,40
Diefstal en inbraak zonder geweld,Groningen,18865,18765,18715,19400
Diefstal en inbraak zonder geweld,Friesland,13970,14225,13870,14280
Diefstal en inbraak zonder geweld,Drenthe,12720,13220,12755,12225
Diefstal en inbraak zonder geweld,Overijssel,32985,33470,33625,34855
Diefstal en inbraak zonder geweld,Flevoland,12485,13160,13510,14550
Diefstal en inbraak zonder geweld,Gelderland,70250,70500,68875,66645
Diefstal en inbraak zonder geweld,Utrecht,53950,51085,49125,48390
Diefstal en inbraak zonder geweld,Noord-Holland,132805,133315,130650,134735
Diefstal en inbraak zonder geweld,Zuid-Holland,143120,146960,139910,134455
Diefstal en inbraak zonder geweld,Zeeland,10245,10330,9570,8955
Diefstal en inbraak zonder geweld,Noord-Brabant,96025,97130,97490,96710
Diefstal en inbraak zonder geweld,Limburg,45480,49530,47395,44670
Diefstal en inbraak zonder geweld,niet in te delen,3090,2595,2005,1730
Bedrog,Groningen,1045,830,910,690
Bedrog,Friesland,975,660,810,620
Bedrog,Drenthe,760,610,810,590
Bedrog,Overijssel,1700,1590,1790,1430
Bedrog,Flevoland,490,365,440,450
Bedrog,Gelderland,2605,2235,2470,2070
Bedrog,Utrecht,1540,1320,1560,1350
Bedrog,Noord-Holland,4665,4445,5030,3975
